term,status,targets,candidateTargets,sources,note
乳房偏好,approved,genre:breast_fetish,,localogue-community-data,Community genre_000062 (theme) 精确名称。
乳揉み,approved,genre:breast_fondling,,localogue-community-data,Community genre_000238 (act) 精确名称。
乳首責め,approved,genre:nipple_stimulation,,localogue-community-data,Community genre_000237 (act) 精确名称。
亚洲,approved,sourceOnly:region_asia,,localogue-vocabulary,
亚洲演员,approved,genre:asian_performer,,localogue-community-data,Community genre_000130 (role) 精确名称。
人妻,approved,genre:married_woman,,localogue-community-data,Community genre_000002 (theme) 精确名称。 Community genre_000117 (role) 精确名称。
人妻角色,approved,genre:married_woman,,localogue-community-data,Community genre_000117 (role) 精确名称。
令嬢,approved,genre:heiress,,localogue-community-data,Community genre_000111 (role) 精确名称。
仿真阳具,approved,genre:dildo,,localogue-community-data,Community genre_000258 (practice) 精确名称。
企划作品,approved,workType:concept_work,,localogue-community-data,Community genre_000012 (theme) 精确名称。
企画,approved,workType:concept_work,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
企画作品,approved,workType:concept_work,,localogue-community-data,Community genre_000012 (theme) 精确名称。
传教士体位,approved,genre:missionary,,localogue-community-data,Community genre_000213 (act) 精确名称。
伪娘,approved,genre:feminine_boy,,localogue-community-data,Community genre_000125 (role) 精确名称。
体内射精,approved,genre:creampie,,localogue-community-data,Community genre_000218 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
体型分类,approved,sourceOnly:taxonomy_section_body,,localogue-vocabulary,
体操着,approved,genre:gym_clothes,,localogue-community-data,Community genre_000136 (wardrobe) 精确名称。
体操着・ブルマ,review-required,,genre:bloomers|genre:gym_clothes,metatube-356-20240608|metatube-reference,来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
体毛浓密,approved,genre:hairy,,localogue-community-data,Community genre_000200 (body) 精确名称。
作品类别,approved,sourceOnly:taxonomy_section_genre,,localogue-vocabulary,
修女,approved,genre:nun,,localogue-community-data,Community genre_000101 (role) 精确名称。
偶像,approved,genre:idol,,localogue-community-data,Community genre_000071 (role) 精确名称。
偷拍题材,approved,genre:hidden_camera,,localogue-community-data,Community genre_000054 (theme) 精确名称。
偷拍风格,approved,genre:hidden_camera_style,,localogue-community-data,Community genre_000264 (practice) 精确名称。
偷窥,approved,genre:voyeurism,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
偷窥题材,approved,genre:voyeurism,,localogue-community-data,Community genre_000055 (theme) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
催情药设定,approved,genre:aphrodisiac_theme,,localogue-community-data,Community genre_000261 (practice) 精确名称。
催眠,approved,genre:hypnosis,,localogue-community-data,Community genre_000037 (theme) 精确名称。
催眠プレイ,approved,genre:hypnosis_play,,localogue-community-data,Community genre_000263 (practice) 精确名称。
催眠玩法,approved,genre:hypnosis_play,,localogue-community-data,Community genre_000263 (practice) 精确名称。
先生,approved,genre:teacher,,localogue-community-data,Community genre_000080 (role) 精确名称。
兔女郎,approved,genre:bunny_girl,,localogue-community-data,Community genre_000160 (wardrobe) 精确名称。
入れ替わり,approved,genre:body_swap,,localogue-community-data,Community genre_000036 (theme) 精确名称。
全裸,approved,genre:full_nudity,,localogue-community-data,Community genre_000067 (theme) 精确名称。
全身タイツ,approved,genre:bodysuit,,localogue-community-data,Community genre_000175 (wardrobe) 精确名称。
全身紧身衣,approved,genre:bodysuit,,localogue-community-data,Community genre_000175 (wardrobe) 精确名称。
全高清,approved,sourceOnly:media_full_hd,,localogue-community-data|localogue-vocabulary,Community genre_000318 (media) 精确名称。
公主,approved,genre:princess,,localogue-community-data,Community genre_000122 (role) 精确名称。
公开暴露,approved,genre:public_exposure,,localogue-community-data,Community genre_000056 (theme) 精确名称。
共演,approved,workType:co_starring,,localogue-community-data,Community genre_000013 (theme) 精确名称。
共演作品,approved,workType:co_starring,,legacy-localogue|localogue-community-data,V1-24 以前的 Work Type 显示词，保留为稳定别名。 Community genre_000283 (production) 精确名称。
内射,approved,genre:creampie,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
内衣,approved,genre:lingerie,,localogue-community-data,Community genre_000142 (wardrobe) 精确名称。
内裤,approved,genre:panties,,localogue-community-data,Community genre_000144 (wardrobe) 精确名称。
写真偶像,approved,genre:gravure_idol,,localogue-community-data,Community genre_000076 (role) 精确名称。
写真影像,approved,workType:image_video,,localogue-community-data,Community genre_000275 (production) 精确名称。
凌辱,approved,genre:abuse,,legacy-localogue|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
出轨,approved,genre:cheating,,localogue-community-data,Community genre_000049 (theme) 精确名称。
出道作,approved,sourceOnly:lifecycle_debut,,localogue-community-data|localogue-vocabulary,Community genre_000006 (theme) 精确名称。
列车乘务员,approved,genre:train_conductor,,localogue-community-data,Community genre_000094 (role) 精确名称。
初撮り,approved,sourceOnly:lifecycle_first_shoot,,localogue-community-data|localogue-vocabulary,Community genre_000005 (theme) 精确名称。
制服,approved,genre:uniform,,legacy-localogue|localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000133 (wardrobe) 精确名称。
前台接待,approved,genre:receptionist,,localogue-community-data,Community genre_000086 (role) 精确名称。
剛毛,approved,genre:hairy,,localogue-community-data,Community genre_000200 (body) 精确名称。
剧情,approved,genre:drama,,localogue-community-data,Community genre_000014 (theme) 精确名称。
剧情作品,approved,workType:drama_production,,localogue-community-data,Community genre_000287 (production) 精确名称。
动漫角色扮演,approved,genre:anime_cosplay,,localogue-community-data,Community genre_000159 (wardrobe) 精确名称。
匂いフェチ,approved,genre:scent_fetish,,localogue-community-data,Community genre_000064 (theme) 精确名称。
医院,approved,genre:hospital_setting,,localogue-community-data,Community genre_000031 (theme) 精确名称。
千金小姐,approved,genre:heiress,,localogue-community-data,Community genre_000111 (role) 精确名称。
半裸,approved,genre:partially_nude,,localogue-community-data,Community genre_000180 (wardrobe) 精确名称。
单体作品,approved,workType:solo,,localogue-community-data,Community genre_000011 (theme) 精确名称。 Community genre_000282 (production) 精确名称。
单元合集,approved,workType:omnibus,,legacy-localogue,V1-24 以前的 Work Type 显示词，保留为稳定别名。
単体作品,approved,workType:solo,,localogue-community-data,Community genre_000011 (theme) 精确名称。 Community genre_000282 (production) 精确名称。
历史剧,approved,genre:period_drama,,localogue-community-data,Community genre_000024 (theme) 精确名称。
原作もの,approved,workType:adaptation,,localogue-community-data,Community genre_000278 (production) 精确名称。
原作コラボ,approved,workType:adaptation,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
原创作品,approved,workType:original_work,,localogue-community-data,Community genre_000277 (production) 精确名称。
友情,approved,genre:friends,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
友達,approved,genre:friends,,localogue-community-data,Community genre_000042 (theme) 精确名称。
双性恋题材,approved,genre:bisexual,,localogue-community-data,Community genre_000270 (practice) 精确名称。
受付嬢,approved,genre:receptionist,,localogue-community-data,Community genre_000086 (role) 精确名称。
变身,approved,genre:transformation,,localogue-community-data,Community genre_000039 (theme) 精确名称。
口交,approved,genre:blowjob,,localogue-community-data,Community genre_000205 (act) 精确名称。
口内射精,approved,genre:oral_ejaculation,,localogue-community-data,Community genre_000220 (act) 精确名称。
口内発射,approved,genre:oral_ejaculation,,localogue-community-data,Community genre_000220 (act) 精确名称。
口罩,approved,genre:mask,,localogue-community-data,Community genre_000174 (wardrobe) 精确名称。
合辑,approved,workType:compilation,,legacy-localogue,V1-24 以前的 Work Type 显示词，保留为稳定别名。
合集,approved,workType:compilation,,localogue-community-data,Community genre_000279 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
同人作品,approved,workType:doujin_work,,localogue-community-data,Community genre_000297 (production) 精确名称。
后入式,approved,genre:rear_entry,,localogue-community-data,Community genre_000214 (act) 精确名称。
吞精,review-required,,genre:cum_swallowing|genre:semen_swallowing,legacy-localogue|localogue-community-data,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000221 (act) 精确名称。
吞饮精液,approved,genre:cum_swallowing,,localogue-community-data,Community genre_000223 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
含 MGS 独家附赠影像,approved,sourceOnly:provider_mgs_bonus,,localogue-vocabulary,
周年,approved,sourceOnly:lifecycle_anniversary,,localogue-vocabulary,
周年企划,approved,sourceOnly:lifecycle_anniversary,,localogue-vocabulary,
和服,approved,genre:kimono,,localogue-community-data,Community genre_000153 (wardrobe) 精确名称。
和服、喪服,review-required,,genre:kimono|genre:mourning_dress,metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
哥特萝莉,approved,genre:gothic_lolita,,localogue-community-data,Community genre_000162 (wardrobe) 精确名称。
喜剧,approved,genre:comedy,,localogue-community-data,Community genre_000018 (theme) 精确名称。
喪服,approved,genre:mourning_dress,,localogue-community-data,Community genre_000155 (wardrobe) 精确名称。
围裙,approved,genre:apron,,localogue-community-data,Community genre_000148 (wardrobe) 精确名称。
変身,approved,genre:transformation,,localogue-community-data,Community genre_000039 (theme) 精确名称。
复出作,approved,sourceOnly:lifecycle_comeback,,localogue-community-data|localogue-vocabulary,Community genre_000008 (theme) 精确名称。
外国人出演者,approved,genre:foreign_performer,,localogue-community-data,Community genre_000129 (role) 精确名称。
外国演员,approved,genre:foreign_performer,,localogue-community-data,Community genre_000129 (role) 精确名称。
多人射精,approved,genre:bukkake,,localogue-community-data,Community genre_000222 (act) 精确名称。
多人性行为,approved,genre:group_sex,,localogue-community-data,Community genre_000229 (act) 精确名称。
多种职业,approved,sourceOnly:generic_professions,,localogue-vocabulary,
多言語字幕,approved,workType:multilingual_subtitles,,localogue-community-data,Community genre_000302 (production) 精确名称。
多语言字幕,approved,workType:multilingual_subtitles,,localogue-community-data,Community genre_000302 (production) 精确名称。
大小姐,approved,genre:young_lady,,localogue-community-data,Community genre_000110 (role) 精确名称。
大量潮吹,approved,genre:heavy_squirting,,localogue-community-data,Community genre_000226 (act) 精确名称。
大量潮吹き,approved,genre:heavy_squirting,,localogue-community-data,Community genre_000226 (act) 精确名称。
夺爱,approved,genre:netori,,localogue-community-data,Community genre_000048 (theme) 精确名称。
奇幻,approved,genre:fantasy,,localogue-community-data,Community genre_000022 (theme) 精确名称。
女上位,approved,genre:cowgirl,,localogue-community-data,Community genre_000212 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
女主人,approved,genre:hostess,,localogue-community-data,Community genre_000098 (role) 精确名称。
女主播,approved,genre:female_announcer,,localogue-community-data,Community genre_000073 (role) 精确名称。
女仆,approved,genre:maid,,localogue-community-data,Community genre_000099 (role) 精确名称。
女仆装,approved,genre:maid_outfit,,localogue-community-data,Community genre_000149 (wardrobe) 精确名称。
女体化,approved,genre:feminization,,localogue-community-data,Community genre_000040 (theme) 精确名称。
女優,approved,genre:actress,,localogue-community-data,Community genre_000074 (role) 精确名称。
女儿,approved,genre:daughter,,localogue-community-data,Community genre_000109 (role) 精确名称。
女医,approved,genre:female_doctor,,localogue-community-data,Community genre_000090 (role) 精确名称。
女医生,approved,genre:female_doctor,,localogue-community-data,Community genre_000090 (role) 精确名称。
女同性题材,approved,genre:lesbian,,localogue-community-data,Community genre_000268 (practice) 精确名称。
女大学生,approved,genre:female_college_student,,localogue-community-data,Community genre_000078 (role) 精确名称。
女子アナ,approved,genre:female_announcer,,localogue-community-data,Community genre_000073 (role) 精确名称。
女子大生,approved,genre:female_college_student,,localogue-community-data,Community genre_000078 (role) 精确名称。
女子校生,approved,genre:female_high_school_student,,localogue-community-data,Community genre_000079 (role) 精确名称。
女将,approved,genre:inn_proprietress,,localogue-community-data,Community genre_000097 (role) 精确名称。
女将、女主人,review-required,,genre:hostess|genre:inn_proprietress,metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
女忍者,approved,genre:kunoichi,,localogue-community-data,Community genre_000120 (role) 精确名称。
女性主导,approved,genre:femdom,,localogue-community-data,Community genre_000272 (practice) 精确名称。
女性化,approved,genre:feminization,,localogue-community-data,Community genre_000040 (theme) 精确名称。
女性向,approved,workType:for_women,,localogue-community-data,Community genre_000295 (production) 精确名称。
女性向け,approved,workType:for_women,,localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,Community genre_000295 (production) 精确名称。
女性搭讪,approved,genre:reverse_pickup,,localogue-community-data,Community genre_000051 (theme) 精确名称。
女战士,approved,genre:female_warrior,,localogue-community-data,Community genre_000119 (role) 精确名称。
女戦士,approved,genre:female_warrior,,localogue-community-data,Community genre_000119 (role) 精确名称。
女掌柜,approved,genre:inn_proprietress,,localogue-community-data,Community genre_000097 (role) 精确名称。
女教师,approved,genre:female_teacher,,localogue-community-data,Community genre_000081 (role) 精确名称。
女教師,approved,genre:female_teacher,,localogue-community-data,Community genre_000081 (role) 精确名称。
女检察官,approved,genre:female_prosecutor,,localogue-community-data,Community genre_000091 (role) 精确名称。
女検事,approved,genre:female_prosecutor,,localogue-community-data,Community genre_000091 (role) 精确名称。
女演员,approved,genre:actress,,localogue-community-data,Community genre_000074 (role) 精确名称。
女王,approved,genre:dominatrix,,localogue-community-data,Community genre_000123 (role) 精确名称。
女王様,approved,genre:dominatrix,,localogue-community-data,Community genre_000123 (role) 精确名称。 Community genre_000248 (practice) 精确名称。
女王玩法,approved,genre:dominatrix,,localogue-community-data,Community genre_000248 (practice) 精确名称。
女装,approved,genre:cross_dressing,,localogue-community-data,Community genre_000178 (wardrobe) 精确名称。
女装・男の娘,review-required,,genre:cross_dressing|genre:feminine_boy,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
女高中生,approved,genre:female_high_school_student,,localogue-community-data,Community genre_000079 (role) 精确名称。
奴隶,approved,genre:slave,,localogue-community-data,Community genre_000124 (role) 精确名称。
奴隶玩法,approved,genre:slave,,localogue-community-data,Community genre_000247 (practice) 精确名称。
奴隷,approved,genre:slave,,localogue-community-data,Community genre_000124 (role) 精确名称。 Community genre_000247 (practice) 精确名称。
妊婦,approved,genre:pregnant,,localogue-community-data,Community genre_000198 (body) 精确名称。
妹,approved,genre:younger_sister,,localogue-community-data,Community genre_000108 (role) 精确名称。
妹妹,approved,genre:younger_sister,,localogue-community-data,Community genre_000108 (role) 精确名称。
姉,approved,genre:older_sister,,localogue-community-data,Community genre_000107 (role) 精确名称。
姐姐,approved,genre:older_sister,,localogue-community-data,Community genre_000107 (role) 精确名称。
娃娃装,approved,genre:babydoll,,localogue-community-data,Community genre_000145 (wardrobe) 精确名称。
娇小,approved,genre:petite,,localogue-community-data,Community genre_000193 (body) 精确名称。
娘,approved,genre:daughter,,localogue-community-data,Community genre_000109 (role) 精确名称。
婚外情,approved,genre:infidelity,,localogue-community-data,Community genre_000046 (theme) 精确名称。
婚纱,approved,genre:wedding_dress,,localogue-community-data,Community genre_000157 (wardrobe) 精确名称。
媒体分类,approved,sourceOnly:taxonomy_section_media,,localogue-vocabulary,
媚薬,approved,genre:aphrodisiac_theme,,localogue-community-data,Community genre_000261 (practice) 精确名称。
孕妇,approved,genre:pregnant,,localogue-community-data,Community genre_000198 (body) 精确名称。
字幕付き,approved,workType:subtitled,,localogue-community-data,Community genre_000301 (production) 精确名称。
学園もの,approved,genre:school_setting,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
学校,approved,genre:school_setting,,localogue-community-data,Community genre_000027 (theme) 精确名称。
学校制服,approved,genre:school_uniform,,localogue-community-data,Community genre_000135 (wardrobe) 精确名称。
学校泳装,approved,genre:school_swimsuit,,localogue-community-data,Community genre_000138 (wardrobe) 精确名称。
学校题材,approved,genre:school_setting,,localogue-community-data,Community genre_000027 (theme) 精确名称。
学生,approved,genre:student,,localogue-community-data,Community genre_000077 (role) 精确名称。
学生服,approved,genre:school_uniform,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
官能作品,approved,genre:eroticism,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
客室乗務員,approved,genre:flight_attendant,,localogue-community-data,Community genre_000093 (role) 精确名称。
家庭,approved,genre:family,,localogue-community-data,Community genre_000044 (theme) 精确名称。
家庭教师,approved,genre:private_tutor,,localogue-community-data,Community genre_000082 (role) 精确名称。
家庭教師,approved,genre:private_tutor,,localogue-community-data,Community genre_000082 (role) 精确名称。
家族,approved,genre:family,,localogue-community-data,Community genre_000044 (theme) 精确名称。
寝取られ,approved,genre:netorare,,localogue-community-data,Community genre_000047 (theme) 精确名称。
寝取り,approved,genre:netori,,localogue-community-data,Community genre_000048 (theme) 精确名称。
寝取り、寝取られ,review-required,,genre:netorare|genre:netori,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
寡妇,approved,genre:widow,,localogue-community-data,Community genre_000104 (role) 精确名称。
小柄,approved,genre:petite,,localogue-community-data,Community genre_000193 (body) 精确名称。
尻フェチ,approved,genre:butt_fetish,,localogue-community-data,Community genre_000063 (theme) 精确名称。
尻叩き,approved,genre:spanking,,localogue-community-data,Community genre_000239 (act) 精确名称。
局部アップ,approved,sourceOnly:technical_close_up,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
局部特写,approved,sourceOnly:technical_close_up,,localogue-vocabulary,
屈辱,approved,genre:humiliation,,metatube-356-20240608|metatube-reference,
巨乳,approved,genre:big_bust,,legacy-localogue|localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000181 (body) 精确名称。
巨乳フェチ,approved,genre:breast_fetish,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
巨尻,approved,genre:big_butt,,localogue-community-data,Community genre_000187 (body) 精确名称。
巨臀,approved,genre:big_butt,,localogue-community-data,Community genre_000187 (body) 精确名称。
巫女,approved,genre:shrine_maiden,,localogue-community-data,Community genre_000100 (role) 精确名称。
已婚女性,approved,genre:married_woman,,localogue-community-data,Community genre_000002 (theme) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
带字幕,approved,workType:subtitled,,localogue-community-data,Community genre_000301 (production) 精确名称。
帽子,approved,genre:hat,,localogue-community-data,Community genre_000173 (wardrobe) 精确名称。
年轻妻子,approved,genre:young_wife,,localogue-community-data,Community genre_000103 (role) 精确名称。
幼なじみ,approved,genre:childhood_friend,,localogue-community-data,Community genre_000043 (theme) 精确名称。 Community genre_000112 (role) 精确名称。
幼态系,approved,sourceOnly:age_coded_loli_style,,localogue-vocabulary,
店员,approved,genre:shop_clerk,,localogue-community-data,Community genre_000087 (role) 精确名称。
店員,approved,genre:shop_clerk,,localogue-community-data,Community genre_000087 (role) 精确名称。
异物插入,approved,genre:object_insertion,,localogue-community-data,Community genre_000260 (practice) 精确名称。
引退作,approved,sourceOnly:lifecycle_retirement,,localogue-community-data|localogue-vocabulary,Community genre_000007 (theme) 精确名称。
強姦,approved,genre:rape_theme,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
後背位,approved,genre:rear_entry,,localogue-community-data,Community genre_000214 (act) 精确名称。
復刻版,approved,workType:reissue,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
復帰作,approved,sourceOnly:lifecycle_comeback,,localogue-community-data|localogue-vocabulary,Community genre_000008 (theme) 精确名称。
微乳,approved,genre:petite_bust,,localogue-community-data,Community genre_000185 (body) 精确名称。
性感,approved,sourceOnly:generic_sexy,,localogue-vocabulary,
性転換・女体化,review-required,,genre:feminization|genre:transformation,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
恋人,approved,genre:couple,,localogue-community-data,Community genre_000041 (theme) 精确名称。
恋愛,approved,genre:romance,,localogue-community-data,Community genre_000016 (theme) 精确名称。
恋愛リアリティ,approved,genre:dating_reality,,localogue-community-data,Community genre_000068 (theme) 精确名称。
恋爱,approved,genre:romance,,localogue-community-data,Community genre_000016 (theme) 精确名称。
恋爱真人秀,approved,genre:dating_reality,,localogue-community-data,Community genre_000068 (theme) 精确名称。
恋物,approved,genre:fetish,,localogue-community-data,Community genre_000059 (theme) 精确名称。
恐怖,approved,genre:horror,,localogue-community-data,Community genre_000020 (theme) 精确名称。
恶作剧,approved,genre:prank,,localogue-community-data,Community genre_000058 (theme) 精确名称。
悬疑,approved,genre:suspense,,localogue-community-data,Community genre_000019 (theme) 精确名称。
情侣,approved,genre:couple,,localogue-community-data,Community genre_000041 (theme) 精确名称。
戏仿,approved,genre:parody,,localogue-community-data,Community genre_000023 (theme) 精确名称。
成人,approved,sourceOnly:generic_adult,,localogue-vocabulary,
成人动画,approved,workType:adult_animation,,localogue-community-data,Community genre_000274 (production) 精确名称。
成人向けアニメ,approved,workType:adult_animation,,localogue-community-data,Community genre_000274 (production) 精确名称。
成人向け実写,approved,workType:adult_live_action,,localogue-community-data,Community genre_000273 (production) 精确名称。
成人向け映画,approved,workType:adult_live_action,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
成人实拍,approved,workType:adult_live_action,,localogue-community-data,Community genre_000273 (production) 精确名称。
成人指定,approved,sourceOnly:rating_adults_only,,localogue-community-data|localogue-vocabulary,Community genre_000323 (rating) 精确名称。
成人玩具,approved,genre:sex_toys,,localogue-community-data,Community genre_000256 (practice) 精确名称。
成人限定,approved,sourceOnly:rating_adults_only,,localogue-community-data|localogue-vocabulary,Community genre_000323 (rating) 精确名称。
成熟体型,approved,genre:mature_figure,,localogue-community-data,Community genre_000202 (body) 精确名称。
户外,approved,genre:outdoor,,localogue-community-data,Community genre_000251 (practice) 精确名称。
手コキ,approved,genre:handjob,,localogue-community-data,Community genre_000208 (act) 精确名称。
手交,approved,genre:handjob,,localogue-community-data,Community genre_000208 (act) 精确名称。
打屁股,approved,genre:spanking,,localogue-community-data,Community genre_000239 (act) 精确名称。
投稿,approved,workType:submitted_work,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
投稿作品,approved,workType:submitted_work,,localogue-community-data,Community genre_000291 (production) 精确名称。
护士,approved,genre:nurse,,localogue-community-data,Community genre_000089 (role) 精确名称。
护士服,approved,genre:nurse_outfit,,localogue-community-data,Community genre_000150 (wardrobe) 精确名称。
拘束,approved,genre:bondage,,legacy-localogue|localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000245 (practice) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
拳交,approved,genre:fisting,,localogue-community-data,Community genre_000228 (act) 精确名称。
指マン,approved,genre:fingering,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
指交,approved,genre:fingering,,localogue-community-data,Community genre_000227 (act) 精确名称。
指入れ,approved,genre:fingering,,localogue-community-data,Community genre_000227 (act) 精确名称。
按摩,approved,genre:massage,,localogue-community-data,Community genre_000235 (act) 精确名称。
振动棒,approved,genre:vibrator,,localogue-community-data,Community genre_000257 (practice) 精确名称。
捆绑,approved,genre:bondage,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
排尿,approved,genre:urination,,localogue-community-data,Community genre_000224 (act) 精确名称。
接吻,approved,genre:kissing,,localogue-community-data,Community genre_000203 (act) 精确名称。
揉胸,approved,genre:breast_fondling,,localogue-community-data,Community genre_000238 (act) 精确名称。
搭讪,approved,genre:pickup,,localogue-community-data,Community genre_000052 (theme) 精确名称。
搭讪企划,approved,genre:pickup_production,,localogue-community-data,Community genre_000266 (practice) 精确名称。
改编作品,approved,workType:adaptation,,localogue-community-data,Community genre_000278 (production) 精确名称。
放尿,approved,genre:urination,,localogue-community-data,Community genre_000224 (act) 精确名称。
教学,approved,workType:instructional,,localogue-community-data,Community genre_000290 (production) 精确名称。
教师,approved,genre:teacher,,localogue-community-data,Community genre_000080 (role) 精确名称。
数字下载,approved,sourceOnly:media_download,,localogue-community-data|localogue-vocabulary,Community genre_000316 (media) 精确名称。
数字发行,approved,sourceOnly:media_digital_distribution,,localogue-community-data|localogue-vocabulary,Community genre_000314 (media) 精确名称。
文化,approved,sourceOnly:generic_culture,,localogue-vocabulary,
新娘,approved,genre:bride,,localogue-community-data,Community genre_000102 (role) 精确名称。
旅行,approved,genre:travel,,localogue-community-data,Community genre_000025 (theme) 精确名称。
旗袍,approved,genre:cheongsam,,localogue-community-data,Community genre_000156 (wardrobe) 精确名称。
无码,approved,workType:uncensored,,localogue-community-data,Community genre_000298 (production) 精确名称。
无阴毛,approved,genre:hairless,,localogue-community-data,Community genre_000199 (body) 精确名称。
日焼け,approved,genre:tanned,,localogue-community-data,Community genre_000066 (theme) 精确名称。 Community genre_000195 (body) 精确名称。
时间停止,approved,genre:time_stop,,localogue-community-data,Community genre_000034 (theme) 精确名称。
時代劇,approved,genre:period_drama,,localogue-community-data,Community genre_000024 (theme) 精确名称。
時間停止,approved,genre:time_stop,,localogue-community-data,Community genre_000034 (theme) 精确名称。
晒黑,approved,genre:tanned,,localogue-community-data,Community genre_000066 (theme) 精确名称。
晒黑肤色,approved,genre:tanned,,localogue-community-data,Community genre_000195 (body) 精确名称。
普通,approved,sourceOnly:generic_normal,,localogue-vocabulary,
有码,approved,workType:censored,,localogue-community-data,Community genre_000299 (production) 精确名称。
朋友,approved,genre:friends,,localogue-community-data,Community genre_000042 (theme) 精确名称。
服务员,approved,genre:waitress,,localogue-community-data,Community genre_000088 (role) 精确名称。
服装分类,approved,sourceOnly:taxonomy_section_wardrobe,,localogue-vocabulary,
未亡人,approved,genre:widow,,localogue-community-data,Community genre_000104 (role) 精确名称。
束缚装,approved,genre:bondage_wear,,localogue-community-data,Community genre_000177 (wardrobe) 精确名称。
标清,approved,sourceOnly:media_sd,,localogue-community-data|localogue-vocabulary,Community genre_000320 (media) 精确名称。
校服,approved,genre:school_uniform,,localogue-community-data,Community genre_000135 (wardrobe) 精确名称。
样片,approved,sourceOnly:provider_sample_video,,localogue-vocabulary,
格斗家,approved,genre:martial_artist,,localogue-community-data,Community genre_000121 (role) 精确名称。
格闘家,approved,genre:martial_artist,,localogue-community-data,Community genre_000121 (role) 精确名称。
模特,approved,genre:model,,localogue-community-data,Community genre_000075 (role) 精确名称。
正太系,approved,sourceOnly:age_coded_shotacon,,localogue-vocabulary,
正常位,approved,genre:missionary,,localogue-community-data,Community genre_000213 (act) 精确名称。
母,approved,genre:mother,,localogue-community-data,Community genre_000105 (role) 精确名称。
母亲,approved,genre:mother,,localogue-community-data,Community genre_000105 (role) 精确名称。
比基尼,approved,genre:bikini,,localogue-community-data,Community genre_000140 (wardrobe) 精确名称。
气味偏好,approved,genre:scent_fetish,,localogue-community-data,Community genre_000064 (theme) 精确名称。
水手服,approved,genre:sailor_uniform,,localogue-community-data,Community genre_000134 (wardrobe) 精确名称。
水着,approved,genre:swimsuit,,localogue-community-data,Community genre_000139 (wardrobe) 精确名称。
